歌曲,歌手,發行日期 (Y M D),歌曲長度 (min),Youtube 網址
唯一,告五人,2021 01 19,4.52,https://www.youtube.com/watch?v=vxucCfcMFCk
愛在夏天,告五人,2021 09 20,6.75,https://www.youtube.com/watch?v=6Xu-TGL-_qk
好不容易,告五人,2021 12 16,5.45,https://www.youtube.com/watch?v=caxiOmSWWEM
帶我去找夜生活,告五人,2020 01 01,5.42,https://www.youtube.com/watch?v=W9Fq1HC_5hg
我想我不會愛你,田馥甄,2010 11 02,4.63,https://www.youtube.com/watch?v=jmvsxBwpnIQ
愛著愛著就永遠,田馥甄,2014 01 10,4.47,https://www.youtube.com/watch?v=fJWN7wtvaJ0
愛了很久的朋友,田馥甄,2018 03 29,4.42,https://www.youtube.com/watch?v=mJwyo5fH3jY
小幸運,田馥甄,2015 08 18,4.42,https://www.youtube.com/watch?v=GCgvpwLNvtY
還是要幸福,田馥甄,2011 09 01,4.72,https://www.youtube.com/watch?v=1CcQDuuhdXA
好朋友的祝福,A-Lin,2013 01 11,4.3,https://www.youtube.com/watch?v=LbDizRI5wrA
幸福了 然後呢,A-Lin,2012 12 26,5.25,https://www.youtube.com/watch?v=m9eoYjo5W8c
給我一個理由忘記,A-Lin,2010 12 13,4.77,https://www.youtube.com/watch?v=F5FlN-NBGo8
有一種悲傷,A-Lin,2018 10 12,4,https://www.youtube.com/watch?v=BRcudpJzy1I
幸福太短,A-Lin,2016 06 21,4.33,https://www.youtube.com/watch?v=2UArpayTTGA
現在我很幸福,A-Lin,2010 03 05,4,https://www.youtube.com/watch?v=8VpeFjdTex8
說好的幸福呢,周杰倫,2013 03 18,4.27,https://www.youtube.com/watch?v=mLFhTFiX0uM
等你下課,周杰倫,2018 01 18,4.57,https://www.youtube.com/watch?v=kfXdP7nZIiE
晴天,周杰倫,2013 04 17,5.3,https://www.youtube.com/watch?v=DYptgVvkVLQ
手寫的從前,周杰倫,2014 12 30,4.9,https://www.youtube.com/watch?v=TMB6-YflpA4
聽媽媽的話,周杰倫,2013 03 26,4.42,https://www.youtube.com/watch?v=_B8RaLCNUZw
修煉愛情,林俊傑,2013 03 01,5.88,https://www.youtube.com/watch?v=LWV-f6dMN3Q
輸了你贏了世界又如何,林俊傑,2017 11 28,4.68,https://www.youtube.com/watch?v=NiHF-cwto_A
因你而在,林俊傑,2013 02 19,5.2,https://www.youtube.com/watch?v=BqV7skPEcWo
那些你很冒險的夢,林俊傑,2012 02 09,4.2,https://www.youtube.com/watch?v=iE0l8Tx62DE
期待你的愛,林俊傑,2012 01 01,4,https://www.youtube.com/watch?v=kcDf50gvL2M
小酒窩,林俊傑,2011 09 16,3.97,https://www.youtube.com/watch?v=h-woMj_Vt0A
唯一,王力宏,2009 10 04,4.33,https://www.youtube.com/watch?v=P7Qv4AV_StM
你不知道的事,王力宏,2010 08 10,4.57,https://www.youtube.com/watch?v=zvUsOXNPVxo
依然愛你,王力宏,2011 12 05,4.37,https://www.youtube.com/watch?v=sU_ByeHJtw8
你的愛,王力宏,2015 01 23,4.43,https://www.youtube.com/watch?v=jgS7nQUa3Wo
